card_id,source,min_confirms_true,primary_signals,policy_json
agriculture__water_scarcity__rainfed_risk__014,pilot,2,"sig_01,sig_02,sig_04,sig_05","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
agriculture__water_scarcity__rainfed_risk__015,pilot,2,"sig_01,sig_02,sig_04,sig_05","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
agriculture__water_scarcity__rainfed_risk__016,pilot,2,"sig_01,sig_02,sig_04,sig_05","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
agriculture__water_scarcity__rainfed_risk__017,pilot,2,"sig_01,sig_02,sig_04,sig_05","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__001,pilot,2,"sig_01,sig_03,sig_04","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""required_all"": [""sig_01""], ""required_any"": [[""sig_03""], [""sig_04""]], ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__003,pilot,2,"sig_01,sig_02,sig_05","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__004,pilot,2,"sig_01,sig_02,sig_04","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__006,pilot,2,"sig_01,sig_02,sig_04","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__010,pilot,1,"sig_01,sig_04","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""required_any"": [[""sig_01""], [""sig_04""]], ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_04""], ""min"": 2}}, {""level"": ""high"", ""min_from_set"": {""signals"": [""sig_04""], ""min"": 1}, ""min_high_severity_confirms"": 1}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__012,pilot,2,"sig_01,sig_02,sig_03,sig_04","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__014,pilot,2,"sig_01,sig_03,sig_05,sig_06","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__015,pilot,2,"sig_01,sig_02,sig_04,sig_05,sig_06,sig_07","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05"", ""sig_06"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__encroachment__017,pilot,2,"sig_01,sig_02,sig_04,sig_05","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,pilot,2,"sig_01,sig_02,sig_03","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__012,pilot,2,"sig_01,sig_02,sig_03","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
socio_economic__economic_hardship__multi_sector_vulnerability__005,pilot,2,"sig_01,sig_03,sig_04","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
socio_economic__economic_hardship__multi_sector_vulnerability__011,pilot,2,"sig_01,sig_03,sig_04,sig_05,sig_06","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04"", ""sig_05"", ""sig_06""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04"", ""sig_05"", ""sig_06""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
socio_economic__economic_hardship__multi_sector_vulnerability__015,pilot,2,"sig_01,sig_03,sig_05,sig_06,sig_07","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
socio_economic__low_income__small_landholding__007,pilot,2,"sig_01,sig_02,sig_05,sig_07","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
socio_economic__low_income__small_landholding__012,pilot,2,"sig_01,sig_02,sig_03","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""required_all"": [""sig_01""], ""required_any"": [[""sig_02""], [""sig_03""]], ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
socio_economic__low_income__small_landholding__015,pilot,2,"sig_01,sig_06,sig_08","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_06"", ""sig_08""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_06"", ""sig_08""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_06"", ""sig_08""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
socio_economic__low_income__small_landholding__017,pilot,2,"sig_01,sig_02,sig_05,sig_07","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}"
