card_id,severity,code,detail
agriculture__water_scarcity__rainfed_risk__001,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__002,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__003,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__004,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__005,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__006,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__007,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__008,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__009,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__010,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__011,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__012,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__013,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__014,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__015,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__016,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
agriculture__water_scarcity__rainfed_risk__017,error,missing_effects,irrigated_area_ha choice moderate: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__004,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__005,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__006,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__007,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__008,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__008,error,missing_effects,community_forest_governance_status choice inactive: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__009,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__010,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__010,error,missing_effects,community_forest_governance_status choice inactive: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__011,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__012,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__013,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__014,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__015,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__016,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
ntfp_forest_biodiversity__ntfp_decline__forest_degradation__017,error,missing_effects,ntfp_species_presence choice reduced: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__001,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__001,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__001,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__002,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__002,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__002,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__003,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__003,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__003,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__004,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__004,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__004,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__005,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__005,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__005,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__006,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__006,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__006,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__007,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__007,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__007,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__008,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__008,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__008,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__009,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__009,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__009,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__010,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__010,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__010,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__011,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__011,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__011,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__012,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__012,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__012,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__013,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__013,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__013,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__014,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__014,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__014,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__015,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__015,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__015,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__016,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__016,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__016,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__017,error,missing_effects,migrant_household_percent choice low: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__017,error,missing_effects,migrant_household_percent choice moderate: missing effects.signals
socio_economic__economic_hardship__multi_sector_vulnerability__017,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__001,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__002,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__003,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__004,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__005,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__006,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__007,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__008,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__009,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__010,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__011,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__012,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__013,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__014,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__015,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__016,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
socio_economic__low_income__small_landholding__017,error,missing_effects,household_income_inr choice 50k_to_100k: missing effects.signals
