fingerprint,card_count,example_card_id,primary_signals,min_confirms_true,note_excerpt,draft_note,policy_json,comment,fingerprint
c146e866fe7a931b,23,agriculture__water_scarcity__drought__001,"sig_01,sig_02,sig_03",2,"Drought as a causal pathway for water scarcity in semi-arid Deccan agriculture should be confirmed by at least two of the three primary signals: persistent severe or moderate drought weeks (sig_01), extended dry spells (sig_02), or composite SPI+VCI confirmation (sig_03). Seasonal and annual precipi","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (drought_causality). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date).","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,c146e866fe7a931b
fcbd4fef4a61d6b5,16,agriculture__water_scarcity__groundwater_stress__013,"sig_01,sig_02",2,"Groundwater stress in the perhumid North-Eastern Hills is paradoxical given very high annual rainfall, and requires at least two confirming signals before diagnosis is finalised. The primary mechanism is not rainfall deficit but rather rapid runoff on steep hilly terrain limiting infiltration, combi","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,fcbd4fef4a61d6b5
6f210623937510c1,10,agriculture__water_scarcity__groundwater_stress__001,"sig_01,sig_02,sig_05",2,"Groundwater stress in hard rock aquifers of the Deccan Plateau should be confirmed by at least two of the three primary signals: elevated SOGE (sig_01), chronic negative delta_g trend (sig_02), or farmer-reported well deepening (sig_05). Hard rock aquifer class (sig_03) is a structural amplifier — i","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""min"": 2}, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,6f210623937510c1
17f901bcdc0bbbd4,7,agriculture__water_scarcity__drought__003,"sig_01,sig_02,sig_03,sig_04",2,"Drought-driven water scarcity in the AER-9 sub-humid alluvial plains should be confirmed by at least two independent signals: (1) elevated drought_weeks_severe or dry_spell_weeks indicating intra-seasonal moisture deficit, and (2) SPI/VCI/MAI composite classification confirming meteorological or agr","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (drought_causality), sig_03 (dry_spell_weeks), sig_04 (seasonal_precipitation_mm, precipitation_mm). Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date).","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,17f901bcdc0bbbd4
758bb14fc8d6bbf1,6,agriculture__water_scarcity__drought__005,"sig_01,sig_02,sig_03,sig_04",1,,"Pathway drought confirmation policy (auto-generated summary). Confirm when sig_01 (drought_weeks_severe, drought_weeks_moderate) is TRUE. Amplifying signals (do not alone confirm): sig_05 (monsoon_onset_date).","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen mismatch, Expression error",758bb14fc8d6bbf1
78ccdb1aa0eb37b9,5,agriculture__water_scarcity__drought__016,"sig_01,sig_02,sig_03,sig_05",2,"Drought confirmation in the Ladakh cold arid context requires at least two converging signals: (1) a quantitative drought week count (sig_01) or dry spell count (sig_02) confirming within-season stress, AND (2) either a precipitation deficit signal (sig_03) or composite SPI/VCI confirmation (sig_05)","Pathway drought confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (drought_weeks_severe, drought_weeks_moderate), sig_02 (dry_spell_weeks), sig_03 (precipitation_mm, seasonal_precipitation_mm), sig_05 (drought_causality). Amplifying signals (do not alone confirm): sig_04 (monsoon_onset_date).","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,78ccdb1aa0eb37b9
9a798bd7e4d886e0,4,agriculture__water_scarcity__groundwater_stress__004,"sig_01,sig_02,sig_05,sig_06,sig_07",2,Groundwater stress in arid alluvial aquifers should be confirmed by at least two primary signals: elevated SOGE classification (Critical/Over-exploited) and a sustained negative trend in annual delta_g. The alluvial aquifer context (sig_03) amplifies risk because high storage capacity can mask progr,"Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (soge_dev_percent, soge_class_name), sig_02 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_03 (aquifer_class, aquifer_lithology_percent), sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_06"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,9a798bd7e4d886e0
af4e696010ff91bd,4,agriculture__water_scarcity__irrigation_challenges__008,"sig_01,sig_02,sig_04",2,"Diagnosis of irrigation infrastructure failure in AER-11 sub-humid hard-rock plateau terrain should be anchored by at least two of the three primary signals: declining SWB area trend (sig_01), low rabi/kharif SWB ratio (sig_02), or very low SWB count with poor cooperative access (sig_04). Low MGNREG","Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (swb_total_area_ha, trend_swb_total_area_ha), sig_02 (swb_kharif_area_ha, mean_swb_rabi_kharif_ratio), sig_04 (swb_count, dist_cooperative_km). Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,af4e696010ff91bd
d706f3b3b2a831a6,4,ntfp_forest_biodiversity__ntfp_decline__encroachment__002,"sig_01,sig_03,sig_04",2,Diagnosis of encroachment as the primary driver of NTFP decline should be confirmed by at least two signals: a positive trend in cd_forest_to_farm_ha (sig_01) is the strongest single indicator and should be present. Settlement expansion (sig_02) amplifies the diagnosis when co-occurring. High ST pop,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (cd_forest_to_farm_ha), sig_03 (village_st_percent), sig_04 (cd_forest_to_farm_ha, cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,d706f3b3b2a831a6
22d8bd8f00eafdc0,4,socio_economic__economic_hardship__multi_sector_vulnerability__001,"sig_01,sig_02,sig_03",3,"Economic hardship in semi-arid Deccan Plateau villages is confirmed when at least three of the four quantitative signals co-occur: recurring severe drought (sig_01), social marginalisation of SC/ST households or low literacy (sig_02), financial exclusion from formal banking (sig_03), and inadequate ","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (drought_weeks_severe), sig_02 (village_sc_percent, village_st_percent, village_literacy_rate), sig_03 (dist_bank_km). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: migrant_household_percent, household_income_inr.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""confirm_when"": {""min_confirms_true"": 3, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 3}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03""], ""min"": 3}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,22d8bd8f00eafdc0
cfdb4872c26015a8,4,socio_economic__economic_hardship__multi_sector_vulnerability__004,"sig_01,sig_03,sig_04",3,"Economic hardship in arid and semi-arid alluvial zones of Rajasthan, Kachchh, and Haryana is best confirmed when at least three of the four signals are active: high SC/ST share (sig_01), low literacy (sig_02), remote banking (sig_03), and co-occurrence of severe drought with low MGNREGA coverage (si","Pathway multi_sector_vulnerability confirmation policy (auto-generated summary). Confirm when at least 3 of the primary signals co-occur: sig_01 (village_sc_percent, village_st_percent), sig_03 (dist_bank_km), sig_04 (drought_weeks_severe, nrega_swc_count). Amplifying signals (do not alone confirm): sig_02 (village_literacy_rate). Follow-up variables for field evidence: migrant_household_percent, household_income_inr.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 3, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 3}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_03"", ""sig_04""], ""min"": 3}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,cfdb4872c26015a8
f6ed3f98aa2dd75e,3,agriculture__water_scarcity__irrigation_challenges__004,"sig_01,sig_02",1,,"Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when sig_01 (swb_total_area_ha, swb_count) is TRUE. Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (dist_cooperative_km, river_name), sig_05 (annual_well_depth_m). Follow-up variables for field evidence: annual_well_depth_m.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen mismatch, Expression error",f6ed3f98aa2dd75e
5e7b2cca017d1bdb,3,agriculture__water_scarcity__rainfed_risk__008,"sig_01,sig_02,sig_04,sig_05,sig_06",1,,"Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha) is TRUE. Amplifying signals (do not alone confirm): sig_03 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen mismatch, Expression error",5e7b2cca017d1bdb
6803055bd44bd95e,3,agriculture__water_scarcity__rainfed_risk__011,"sig_01,sig_02,sig_03,sig_05,sig_06",1,,"Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha) is TRUE. Amplifying signals (do not alone confirm): sig_04 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",Expression error,6803055bd44bd95e
6078765eee9d5c67,3,agriculture__water_scarcity__rainfed_risk__012,"sig_01,sig_02,sig_04,sig_05",1,,"Pathway rainfed_risk confirmation policy (auto-generated summary). Confirm when sig_01 (lulc_single_kharif_ha, lulc_double_crop_ha) is TRUE. Amplifying signals (do not alone confirm): sig_03 (runoff_mm, terrain_cluster_id). Follow-up variables for field evidence: irrigated_area_ha.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",Expression error,6078765eee9d5c67
6b4cc36f5057475d,2,agriculture__water_scarcity__groundwater_stress__003,sig_03,2,"Groundwater stress in Indo-Gangetic alluvial aquifers should be confirmed by at least two of the three primary signals: elevated SOGE (>90% or Critical/Over-exploited classification), chronic negative delta_g trend, and farmer-reported borewell deepening. Unlike hard-rock peninsular aquifers, alluvi","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_03 (aquifer_class, aquifer_lithology_percent). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_03""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Missing signals, Expression error",6b4cc36f5057475d
875f82e72b1dc971,2,agriculture__water_scarcity__groundwater_stress__012,"sig_01,sig_02,sig_03,sig_05,sig_06,sig_07",2,"In the perhumid Eastern Himalayan hill states, groundwater stress is paradoxical — very high annual rainfall (2000–5000 mm) coexists with seasonal water scarcity because steep terrain drives rapid surface runoff, limiting infiltration into fractured hard-rock aquifers with very low storativity. Diag","Pathway groundwater_stress confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (aquifer_class, aquifer_lithology_percent), sig_02 (soge_dev_percent, soge_class_name), sig_03 (trend_annual_delta_g_mm, delta_g_mm), sig_05 (annual_well_depth_m), sig_06 (borewell_density), sig_07 (groundwater_salinity). Amplifying signals (do not alone confirm): sig_04 (nrega_swc_count). Follow-up variables for field evidence: annual_well_depth_m, borewell_density, groundwater_salinity.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true, ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}}, ""confidence_when"": [{""level"": ""high"", ""min_from_set"": {""signals"": [""sig_01"", ""sig_02"", ""sig_03"", ""sig_05"", ""sig_06"", ""sig_07""], ""min"": 2}, ""min_high_severity_confirms"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,875f82e72b1dc971
045266b712bf5319,2,agriculture__water_scarcity__irrigation_challenges__012,"sig_01,sig_02,sig_05",1,,"Pathway irrigation_challenges confirmation policy (auto-generated summary). Confirm when sig_01 (swb_total_area_ha, swb_count) is TRUE. Amplifying signals (do not alone confirm): sig_03 (nrega_swc_count), sig_04 (river_name, dist_cooperative_km). Follow-up variables for field evidence: annual_well_depth_m.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_05""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen has mismatch, expression error",045266b712bf5319
1893d4cba2de282a,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__004,"sig_01,sig_02,sig_04",1,Diagnosis of encroachment-driven NTFP decline in arid and semi-arid zones should be anchored by sig_01 (forest-to-farm conversion trend) as the primary confirmatory signal. Sig_02 (urbanization expansion) and sig_04 (composite dual pressure) provide corroborating evidence of multi-vector land use ch,"Pathway encroachment confirmation policy (auto-generated summary). Confirm when sig_01 (cd_forest_to_farm_ha) is TRUE. Amplifying signals (do not alone confirm): sig_03 (village_st_percent). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_02"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}","Autogen has mismatch, expression error",1893d4cba2de282a
973cbb6e940e3481,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__005,"sig_01,sig_04",1,"Diagnosis of encroachment as the driver of NTFP decline in AER-10 (Malwa, Bundelkhand) should be anchored on measurable forest-to-farm conversion (sig_01) as the primary confirmatory signal. High ST population share (sig_03) contextualizes the livelihood impact but does not confirm encroachment on i","Pathway encroachment confirmation policy (auto-generated summary). Confirm when sig_01 (cd_forest_to_farm_ha) is TRUE. Amplifying signals (do not alone confirm): sig_02 (cd_urbanization_ha). Follow-up variables for field evidence: fra_claims_filed_count, ntfp_collection_trend_qualitative.","{""version"": 1, ""primary_confirm_signals"": [""sig_01"", ""sig_04""], ""confirm_when"": {""min_confirms_true"": 1, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",,973cbb6e940e3481
e8dc01684602bd98,2,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,sig_05,2,"Diagnosis of NTFP decline via forest degradation in AER-9 plains should be confirmed by at least two of the three primary remote sensing signals: declining lulc_tree_forest_ha trend, net deforestation exceeding afforestation, or cumulative deforestation above 50 ha. The absence of NTFP/agroforestry ","Pathway forest_degradation confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_05 (ntfp_species_presence). Amplifying signals (do not alone confirm): sig_04 (organization_domains), sig_06 (forest_patch_connectivity). Follow-up variables for field evidence: ntfp_species_presence, forest_patch_connectivity.","{""version"": 1, ""primary_confirm_signals"": [""sig_05""], ""confirm_when"": {""min_confirms_true"": 2, ""amplifiers_do_not_confirm"": true}, ""confidence_when"": [{""level"": ""high"", ""min_confirms_true"": 2}, {""level"": ""medium"", ""min_confirms_true"": 1}, {""level"": ""low"", ""default"": true}]}",Expression error,e8dc01684602bd98
